filename,sha256,ripemd160
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_RVStrain_Stratified_InfantsLessThan32Weeks.txt,22c7347b8ac844ffcd240485fd8d85666a20cc89c399615de126007629442765,ed7ee23e8c652fd99b0c563710250afb62dfd6fc
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_LVEF_Stratified_ChildrenandAdults.txt,479885c87d9b1a32e6addc1e222fd2e7485523523b9cd4fff4e239465ee05425,b9624ed924772b714cc0c0c54a49847df324b645
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_LVEARatio_Stratified_LessThan32Weeks.txt,e01db000e19d2ada6aed1a3826f5da8fc32cf57d241cb49f282fb37ba89b3bf1,d123de2c60435c41e24b55d87fab6e87fe8a50f5
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_LVFS.txt,42c43d77ae27be4caeb8aab34177018f9d996b5222ea2876cebbc7b57197cf6a,f454621fb4c082415403b7045fefd6f921c42e7e
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_MAPSE.txt,5969c7a0db96399a394123fb0b2ff578102ba315da0ed0de6e4e72ab1c3770c2,5c93c52bd08c0633e84a7743a2043ea390d5d4cc
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_LVPWd.txt,79a78deb58e8228582ac5941804b3ea76f959e5f36d03c27aaa01cfa062efb55,693f995683c550ce83e30ecfe6eb0ba29ac37be1
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_RVsPrime_Stratified_LessThan32Weeks.txt,eab2a932c20aa3c1514c12253028dea1fa80a451c8ace84e465536947fbc1dad,df5021058c2cd50499f0ca0ba2df659c70e6e002
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_LVEF_Stratified_AllMethodssupplementChildrenandAdultsLessThan32Weeks.txt,f8239ccb0a73000d48068e2ef1a7ffa2bfa2e7e5989a4325e038c28a95b55ca7,66271669ee79b813c0165f17cce6ebc66483e08b
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_RVsPrime.txt,ac5809636bfffb0ae58d15e63d9f46b8a4ab677c7b0e5c98aee4075697325c00,c1f4efb270cff54bdc592b4115146ed07dcfbf4c
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_LVFS_Stratified_ChildrenandAdultsLessThan32Weeks.txt,3836d2f5ab6457f7838dd63f08359070cb42a45b72099db97c03ed2fc1f84839,cd542b00cc812c76da051cd03dc61a2986287875
AUDIT-EVIDENCE_FUNC_PASS_SentPrtclv2.0_MVP0_ReproducibilityCompletion_v.may19.25_LLM3Prompt_LVEDVI_Stratified_AdultsLessThan32Weeks.txt,f1a7c4b3d392a709dc250fced54b5e33d5ef52bbd2d9bb9666a3141bbf2eac60,e899e52929f661050d61443794b4ef9fea7d02b0
.DS_Store,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,33e5e9cf6ed4682534d6bfc3e1a4a728c094103d
