src,meta_id,rel_path,sha256,ripemd160_sha256,frozen_name
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/26. AuditLog.AI Pass Signature Registered – Gate Job Created.md,7277ad5b075ce807d87acbdead8da5b4d39d27549c57cc39f26dd71bbc342a52,834be5d50d4ef74db44c454e7d351cc382400e30,26. AuditLog.AI Pass Signature Registered – Gate Job Created___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/17. VALIS Audit Log per Folder Authorized.md,ab6a0e2a85378f261ce7146679d8ea37a26abd88090320e62ee10f4c76277b71,3c62973d45224ea903b8bb5c469f7f19b7173454,17. VALIS Audit Log per Folder Authorized___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/31. AuditLog.AI OP_RETURN Amplify Execution.md,9855d04eb3296744435cc676ae7df7319ad64b2835ecd9b842061aa9783965f5,decd1daf6fd5252dc3f316e9886c1ea528e2da25,31. AuditLog.AI OP_RETURN Amplify Execution___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/24. Gate Job Not Generated by False Signature.md,fa1bb5067c45e8cde60cd7346f34b78905deba6c1ff7c3d8c7b97acf2bd51399,67461a2a89ddaf79af0719e9bb3855e4f801bc69,24. Gate Job Not Generated by False Signature___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/10. Post-Human Authorization.md,3385a2031b073510a0c7330c3f768e98dc21824e6e989b2210a99f744ad85703,e604af6762e4a85bb7d6a3cf694198c03d004cf7,10. Post-Human Authorization___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/29. Post-Final Authorization — Incoming Anchor Job Arrives at AuditLog.AI Node.md,c916bc0e08a566e11c1120cba39f777758a6331458dcbae19559e8d70c04d0c1,8c0c6fd6e87a2f14f3ae39cd30cc9cc9b02d351f,29. Post-Final Authorization — Incoming Anchor Job Arrives at AuditLog.AI Node___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/21. HMAC (Layer 2) + Reviewer Login.md,83926f165faa52d538784ed1efde28779e074325a5cf8242e5c25ff330f9f93e,c3dfbeb13f803c7144d8fc1d9d800f335ca4e79b,21. HMAC (Layer 2) + Reviewer Login___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/1. PRE Screenshot — User Evidence Directory.md,35df7e1104f9d28e8852fc9a9c37c49993acc1fc14735ee5ce5a9d35c0d48796,01efa3313c9fad32859fa818d56b9ec8b8f0598f,1. PRE Screenshot — User Evidence Directory___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/32. Broadcasted On-Chain via Bitcoin Node — Amplifier Broadcast Event.md,b9da74a5b572f0c4735393c88ce5f93a8af812919249a18e23ac17e50055e205,6a68323bd6a00b606d6e25fa16f5b90c21cec323,32. Broadcasted On-Chain via Bitcoin Node — Amplifier Broadcast Event___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/12. VALIS Audit Verification Initial Prompt.md,856fada1055941ce1dc509b8887148ca5b24e71ea04bca1a2b48ef661f7c9aec,dce17b385e6970bbdc589e6eff4c4254b6706af5,12. VALIS Audit Verification Initial Prompt___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/38. Session Log Digest Match Validation.md,adb9d76d7a0b0285866216a1383d15da49bb5e2f966c2e34a8f1872adc176bde,b38cf1aaee82ba20f01bfb99d9e81be2ad8be540,38. Session Log Digest Match Validation___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/7. OpenTimestamps (OTS) Runtime Execution.md,904606ff1eb3dc9e2f175d540fbe8ab596bd1cc5d9b1df6a3573cdb679b297d5,7910ecdc56a2cb0e5d8fd36d5cfdc228b4d44810,7. OpenTimestamps (OTS) Runtime Execution___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/14. AuditLog Generated Post Verification.md,8b7cc35591d4bc971637623f0744db82f4493a1686f9bfc62c745640b8cee23f,871db3303f538e749cbd3add87dad3389308e579,14. AuditLog Generated Post Verification___20251027T231047Z.md
xarchive_build_files,REGULATORY-RUN-20251027-S03,split_md_20251027T024346Z/43. AuditLog.AI Live Runtime Execution Audit Infrastructure Integrity Provenance.md,5a8e1aed3ba0b536b3bb954d10c808aa97df83b2c06f2fb89c8d838d4adfe27e,35f2821b1349c483b296673a426d20d9cde568a1,43. AuditLog.AI Live Runtime Execution Audit Infrastructure Integrity Provenance___20251027T231047Z.md
